,precision,recall,f1-score
Normal Beats,0.9920450778919456,0.9911690032012364,0.991606847045831
Supraventricular Ectopy Beats,0.8076923076923077,0.8309352517985612,0.8191489361702128
Ventricular Ectopy Beats,0.9651324965132496,0.9558011049723757,0.9604441360166551
Fusion Beats,0.7888888888888889,0.8765432098765432,0.8304093567251462
Unclassifiable Beats,0.9912718204488778,0.9888059701492538,0.9900373599003736
accuracy,0.9837383519093733,0.9837383519093733,0.9837383519093733
macro avg,0.9090061182870539,0.9286509079995942,0.9183293271716437
weighted avg,0.9840227748289865,0.9837383519093733,0.9838575352982092
