,precision,recall,f1-score
Normal Beats,0.89605992201929,0.9640136880450381,0.9287955331028982
Supraventricular Ectopy Beats,0.1846590909090909,0.23381294964028776,0.20634920634920634
Ventricular Ectopy Beats,0.8486842105263158,0.1781767955801105,0.2945205479452055
Fusion Beats,0.0,0.0,0.0
Unclassifiable Beats,0.8620689655172413,0.746268656716418,0.8
accuracy,0.8703636031427006,0.8703636031427006,0.8703636031427006
macro avg,0.5582944377943877,0.4244544179963709,0.44593305747946205
weighted avg,0.8657311234736332,0.8703636031427006,0.852161217838166
