,precision,recall,f1-score
Normal Beats,0.4660633484162896,0.011369908378408213,0.022198275862068965
Supraventricular Ectopy Beats,0.019241652518392757,0.06115107913669065,0.02927249246663797
Ventricular Ectopy Beats,0.051658306505951934,0.47651933701657456,0.09321175278622088
Fusion Beats,0.0036078098471986416,0.10493827160493827,0.006975789905621666
Unclassifiable Beats,0.30545229244114,0.30659203980099503,0.3060211049037865
accuracy,0.06577745295084962,0.06577745295084962,0.06577745295084962
macro avg,0.1692046819457946,0.19211412718752136,0.09153588318486719
weighted avg,0.41208601702301195,0.06577745295084962,0.04780954232435882
