,precision,recall,f1-score
Normal Beats,0.9842895216720438,0.7745888067115576,0.8669384729429207
Supraventricular Ectopy Beats,0.1968031968031968,0.7086330935251799,0.3080531665363565
Ventricular Ectopy Beats,0.4540540540540541,0.8121546961325967,0.5824665676077266
Fusion Beats,0.12937062937062938,0.9135802469135802,0.22664624808575803
Unclassifiable Beats,0.7766069546891464,0.9166666666666666,0.840844266970907
accuracy,0.7868627809245387,0.7868627809245387,0.7868627809245387
macro avg,0.5082248713178141,0.8251247019899163,0.5649897444287337
weighted avg,0.9076371471973838,0.7868627809245387,0.8272736468458409
