,precision,recall,f1-score
Normal Beats,0.9852328663385082,0.8616845126393642,0.9193263455423389
Supraventricular Ectopy Beats,0.22528735632183908,0.7050359712230215,0.34146341463414637
Ventricular Ectopy Beats,0.6285425101214575,0.8577348066298343,0.7254672897196262
Fusion Beats,0.22073578595317725,0.8148148148148148,0.3473684210526316
Unclassifiable Beats,0.8683602771362586,0.9353233830845771,0.9005988023952096
accuracy,0.8625068518180157,0.8625068518180157,0.8625068518180157
macro avg,0.5856317591742481,0.8349186976783225,0.6468448546687906
weighted avg,0.9280979773456707,0.8625068518180157,0.8862196958271846
