,precision,recall,f1-score
Normal Beats,0.9892461318994843,0.99514295176068,0.9921857803213735
Supraventricular Ectopy Beats,0.9039301310043668,0.7446043165467626,0.8165680473372781
Ventricular Ectopy Beats,0.9571230982019364,0.9558011049723757,0.9564616447823082
Fusion Beats,0.8,0.7901234567901234,0.7950310559006211
Unclassifiable Beats,0.9900124843945068,0.986318407960199,0.9881619937694704
accuracy,0.9840124246300018,0.9840124246300018,0.9840124246300018
macro avg,0.9280623691000589,0.894398047606028,0.9096817044222101
weighted avg,0.9836104920380072,0.9840124246300018,0.9836081573572156
