,precision,recall,f1-score
Normal Beats,0.9829561329980442,0.7766861684512639,0.8677313929826725
Supraventricular Ectopy Beats,0.19275929549902152,0.7086330935251799,0.3030769230769231
Ventricular Ectopy Beats,0.4671474358974359,0.8052486187845304,0.5912778904665315
Fusion Beats,0.12585034013605442,0.9135802469135802,0.22122571001494767
Unclassifiable Beats,0.7881720430107527,0.9116915422885572,0.845444059976932
accuracy,0.7877763566599671,0.7877763566599671,0.7877763566599671
macro avg,0.5113770495082617,0.8231679339926223,0.5657511953036014
weighted avg,0.9081203760916702,0.7877763566599671,0.8286840465079341
