,precision,recall,f1-score
Normal Beats,0.9888763904511936,0.873385583397726,0.9275498241500586
Supraventricular Ectopy Beats,0.2686002522068096,0.7661870503597122,0.39775910364145656
Ventricular Ectopy Beats,0.7414187643020596,0.8950276243093923,0.8110137672090113
Fusion Beats,0.15384615384615385,0.8888888888888888,0.26229508196721313
Unclassifiable Beats,0.9493827160493827,0.9564676616915423,0.952912019826518
accuracy,0.8783117120409282,0.8783117120409282,0.8783117120409282
macro avg,0.6204248553711199,0.8759913617294524,0.6703059593588515
weighted avg,0.9451356220291239,0.8783117120409282,0.9033265138705368
