,precision,recall,f1-score
Normal Beats,0.9949335735194776,0.9754939838834309,0.9851178864054401
Supraventricular Ectopy Beats,0.6620879120879121,0.8669064748201439,0.7507788161993769
Ventricular Ectopy Beats,0.9523809523809523,0.9668508287292817,0.9595613433858807
Fusion Beats,0.49333333333333335,0.9135802469135802,0.6406926406926406
Unclassifiable Beats,0.9803680981595092,0.9937810945273632,0.9870290302655961
accuracy,0.9730495158048602,0.9730495158048602,0.9730495158048602
macro avg,0.8166207738962369,0.94332252577476,0.8646359433897869
weighted avg,0.9788839249513467,0.9730495158048602,0.9750675407172785
